PERMNO,date,TICKER,PRC
86868,20071105,GS,218.39000
86868,20071106,GS,223.16000
86868,20071107,GS,214.17999
86868,20071108,GS,209.94000
86868,20071109,GS,211.33000
86868,20071112,GS,214.71001
86868,20071113,GS,233.03999
86868,20071114,GS,233.31000
86868,20071115,GS,227.02000
86868,20071116,GS,225.25000
86868,20071119,GS,220.53999
86868,20071120,GS,217.48000
86868,20071121,GS,209.50000
86868,20071123,GS,216.48000
86868,20071126,GS,207.45000
86868,20071127,GS,213.33000
86868,20071128,GS,227.52000
86868,20071129,GS,224.38000
86868,20071130,GS,226.64000
86868,20071203,GS,226.89000
86868,20071204,GS,215.22000
86868,20071205,GS,218.25999
86868,20071206,GS,222.50999
86868,20071207,GS,217.89000
86868,20071210,GS,224.21001
86868,20071211,GS,211.14999
86868,20071212,GS,212.58000
86868,20071213,GS,208.48000
86868,20071214,GS,210.67000
86868,20071217,GS,208.63000
86868,20071218,GS,201.50999
86868,20071219,GS,204.16000
86868,20071220,GS,202.67000
86868,20071221,GS,209.60001
86868,20071224,GS,214.32001
86868,20071226,GS,216.69000
86868,20071227,GS,211.95000
86868,20071228,GS,211.94000
86868,20071231,GS,215.05000
86868,20080102,GS,207.60001
86868,20080103,GS,204.84000
86868,20080104,GS,199.92999
86868,20080107,GS,194.73000
86868,20080108,GS,189.50000
86868,20080109,GS,191.75000
86868,20080110,GS,196.91000
86868,20080111,GS,198.74001
86868,20080114,GS,201.64999
86868,20080115,GS,193.28999
86868,20080116,GS,197.50000
86868,20080117,GS,190.98000
86868,20080118,GS,187.21001
86868,20080122,GS,190.69000
86868,20080123,GS,199.39000
86868,20080124,GS,199.20000
86868,20080125,GS,191.37000
86868,20080128,GS,196.25000
86868,20080129,GS,196.05000
86868,20080130,GS,198.55000
86868,20080131,GS,199.55000
86868,20080201,GS,207.78000
86868,20080204,GS,200.80000
86868,20080205,GS,189.86000
86868,20080206,GS,187.17000
86868,20080207,GS,190.46001
86868,20080208,GS,187.07001
86868,20080211,GS,185.87000
86868,20080212,GS,180.64999
86868,20080213,GS,180.17999
86868,20080214,GS,176.56000
86868,20080215,GS,178.41000
86868,20080219,GS,173.80000
86868,20080220,GS,177.25000
86868,20080221,GS,175.17000
86868,20080222,GS,177.71001
86868,20080225,GS,177.36000
86868,20080226,GS,172.70000
86868,20080227,GS,180.80000
86868,20080228,GS,176.70000
86868,20080229,GS,169.63000
86868,20080303,GS,165.08000
86868,20080304,GS,163.60001
86868,20080305,GS,164.97000
86868,20080306,GS,158.64999
86868,20080307,GS,160.07001
86868,20080310,GS,155.58000
86868,20080311,GS,163.07001
86868,20080312,GS,163.00999
86868,20080313,GS,165.44000
86868,20080314,GS,156.86000
86868,20080317,GS,151.02000
86868,20080318,GS,175.59000
86868,20080319,GS,166.49001
86868,20080320,GS,179.63000
86868,20080324,GS,178.88000
86868,20080325,GS,179.63000
86868,20080326,GS,175.48000
86868,20080327,GS,168.14000
86868,20080328,GS,164.45000
86868,20080331,GS,165.39000
86868,20080401,GS,176.86000
86868,20080402,GS,176.87000
86868,20080403,GS,176.53000
86868,20080404,GS,175.39999
86868,20080407,GS,178.73000
86868,20080408,GS,178.89999
86868,20080409,GS,174.14000
86868,20080410,GS,170.55000
86868,20080411,GS,167.30000
86868,20080414,GS,163.59000
86868,20080415,GS,164.20000
86868,20080416,GS,169.05000
86868,20080417,GS,172.10001
86868,20080418,GS,179.92999
86868,20080421,GS,180.39999
86868,20080422,GS,179.75999
86868,20080423,GS,179.35001
86868,20080424,GS,188.78999
86868,20080425,GS,192.00000
86868,20080428,GS,190.24001
86868,20080429,GS,192.67999
86868,20080430,GS,191.37000
86868,20080501,GS,199.05000
86868,20080502,GS,200.27000
86868,20080505,GS,197.12000
86868,20080506,GS,197.61000
86868,20080507,GS,189.75999
86868,20080508,GS,187.72000
86868,20080509,GS,188.09000
86868,20080512,GS,192.08000
86868,20080513,GS,190.33000
86868,20080514,GS,190.13000
86868,20080515,GS,188.62000
86868,20080516,GS,187.14000
86868,20080519,GS,184.39999
86868,20080520,GS,182.42999
86868,20080521,GS,178.60001
86868,20080522,GS,177.20000
86868,20080523,GS,172.64000
86868,20080527,GS,173.92000
86868,20080528,GS,174.83000
86868,20080529,GS,176.24001
86868,20080530,GS,176.41000
86868,20080602,GS,172.34000
86868,20080603,GS,170.58000
86868,20080604,GS,172.10001
86868,20080605,GS,176.60001
86868,20080606,GS,169.44000
86868,20080609,GS,165.75999
86868,20080610,GS,167.21001
86868,20080611,GS,162.39999
86868,20080612,GS,166.75000
86868,20080613,GS,178.28999
86868,20080616,GS,182.09000
86868,20080617,GS,179.44000
86868,20080618,GS,182.77000
86868,20080619,GS,186.92999
86868,20080620,GS,183.77000
86868,20080623,GS,178.59000
86868,20080624,GS,181.98000
86868,20080625,GS,183.64999
86868,20080626,GS,176.25999
86868,20080627,GS,174.56000
86868,20080630,GS,174.89999
86868,20080701,GS,175.33000
86868,20080702,GS,178.78999
86868,20080703,GS,178.89000
